service_date,date,bus,rail_boardings,total_rides
09/07/2005,2005-09-07,1090847,664041,1754888
09/08/2005,2005-09-08,1090390,671553,1761943
09/09/2005,2005-09-09,1092990,672572,1765562
09/10/2005,2005-09-10,662248,379906,1042154
09/11/2005,2005-09-11,460444,257201,717645
09/12/2005,2005-09-12,1088861,674800,1763661
09/13/2005,2005-09-13,1081012,691104,1772116
09/14/2005,2005-09-14,1072662,687668,1760330
09/15/2005,2005-09-15,1070331,702096,1772427
09/16/2005,2005-09-16,1061189,689685,1750874
09/17/2005,2005-09-17,677602,404143,1081745
09/18/2005,2005-09-18,473997,292920,766917
09/19/2005,2005-09-19,1033841,657717,1691558
09/20/2005,2005-09-20,1091052,685957,1777009
09/21/2005,2005-09-21,1085278,685975,1771253
09/22/2005,2005-09-22,1045853,672603,1718456
09/23/2005,2005-09-23,1068977,699466,1768443
09/24/2005,2005-09-24,632952,390116,1023068
09/25/2005,2005-09-25,428577,277519,706096
09/26/2005,2005-09-26,1050587,651165,1701752
09/27/2005,2005-09-27,1091710,686977,1778687
09/28/2005,2005-09-28,1019140,668450,1687590
09/29/2005,2005-09-29,1065350,668926,1734276
09/30/2005,2005-09-30,1114521,673776,1788297
10/01/2005,2005-10-01,708008,373322,1081330
10/02/2005,2005-10-02,451633,245477,697110
10/03/2005,2005-10-03,1137817,638813,1776630
10/04/2005,2005-10-04,1099740,677721,1777461
10/05/2005,2005-10-05,1099507,689759,1789266
10/06/2005,2005-10-06,1084528,679966,1764494
10/07/2005,2005-10-07,1037669,663271,1700940
10/08/2005,2005-10-08,638239,378215,1016454
10/09/2005,2005-10-09,427142,372438,799580
10/10/2005,2005-10-10,811357,562228,1373585
10/11/2005,2005-10-11,1076154,687202,1763356
10/12/2005,2005-10-12,1053577,685743,1739320
10/13/2005,2005-10-13,1068998,665605,1734603
10/14/2005,2005-10-14,1091226,683174,1774400
10/15/2005,2005-10-15,670497,376816,1047313
10/16/2005,2005-10-16,456332,268898,725230
10/17/2005,2005-10-17,1046900,653518,1700418
10/18/2005,2005-10-18,1071110,669214,1740324
10/19/2005,2005-10-19,1056343,666799,1723142
10/20/2005,2005-10-20,1057585,676430,1734015
10/21/2005,2005-10-21,1064058,674291,1738349
10/22/2005,2005-10-22,624399,385602,1010001
10/23/2005,2005-10-23,421490,277349,698839
10/24/2005,2005-10-24,995935,637292,1633227
10/25/2005,2005-10-25,1034930,653259,1688189
10/26/2005,2005-10-26,1041390,662049,1703439
10/27/2005,2005-10-27,1039411,669962,1709373
10/28/2005,2005-10-28,1050188,734562,1784750
10/29/2005,2005-10-29,646559,378146,1024705
10/30/2005,2005-10-30,436487,251042,687529
10/31/2005,2005-10-31,1000931,636744,1637675
11/01/2005,2005-11-01,1104565,668971,1773536
11/02/2005,2005-11-02,1077276,667966,1745242
11/03/2005,2005-11-03,1108680,678842,1787522
11/04/2005,2005-11-04,994280,653744,1648024
11/05/2005,2005-11-05,624689,351850,976539
11/06/2005,2005-11-06,425669,239193,664862
11/07/2005,2005-11-07,1060057,648893,1708950
11/08/2005,2005-11-08,998603,642398,1641001
11/09/2005,2005-11-09,1034556,655614,1690170
11/10/2005,2005-11-10,1049433,672627,1722060
11/11/2005,2005-11-11,862413,587641,1450054
11/12/2005,2005-11-12,626889,351085,977974
11/13/2005,2005-11-13,416141,247977,664118
11/14/2005,2005-11-14,1021597,637498,1659095
11/15/2005,2005-11-15,1001890,644740,1646630
11/16/2005,2005-11-16,960835,625642,1586477
11/17/2005,2005-11-17,982303,636292,1618595
11/18/2005,2005-11-18,997001,635900,1632901
11/19/2005,2005-11-19,643136,395851,1038987
11/20/2005,2005-11-20,424683,243191,667874
11/21/2005,2005-11-21,1023750,627654,1651404
11/22/2005,2005-11-22,1012669,637432,1650101
11/23/2005,2005-11-23,946475,594581,1541056
11/24/2005,2005-11-24,265869,149351,415220
11/25/2005,2005-11-25,542621,335201,877822
11/26/2005,2005-11-26,520348,290786,811134
11/27/2005,2005-11-27,378931,214449,593380
11/28/2005,2005-11-28,964783,610273,1575056
11/29/2005,2005-11-29,964736,621228,1585964
11/30/2005,2005-11-30,975689,623427,1599116
12/01/2005,2005-12-01,1002814,637299,1640113
12/02/2005,2005-12-02,1012143,626729,1638872
12/03/2005,2005-12-03,602909,343944,946853
12/04/2005,2005-12-04,394671,232929,627600
12/05/2005,2005-12-05,959432,591559,1550991
12/06/2005,2005-12-06,943778,595172,1538950
12/07/2005,2005-12-07,922076,591500,1513576
12/08/2005,2005-12-08,900776,651313,1552089
12/09/2005,2005-12-09,922330,630309,1552639
12/10/2005,2005-12-10,545442,331523,876965
12/11/2005,2005-12-11,384544,223869,608413
12/12/2005,2005-12-12,974895,603601,1578496
12/13/2005,2005-12-13,984740,612377,1597117
12/14/2005,2005-12-14,959741,629222,1588963
12/15/2005,2005-12-15,972435,621555,1593990
12/16/2005,2005-12-16,952574,605734,1558308
12/17/2005,2005-12-17,576780,326028,902808
12/18/2005,2005-12-18,371336,222374,593710
12/19/2005,2005-12-19,860779,535968,1396747
12/20/2005,2005-12-20,894974,534766,1429740
12/21/2005,2005-12-21,918067,553734,1471801
12/22/2005,2005-12-22,912016,544544,1456560
12/23/2005,2005-12-23,878003,479373,1357376
12/24/2005,2005-12-24,481238,198644,679882
12/25/2005,2005-12-25,263158,105718,368876
12/26/2005,2005-12-26,437677,224784,662461
12/27/2005,2005-12-27,735303,457726,1193029
12/28/2005,2005-12-28,711850,462580,1174430
12/29/2005,2005-12-29,738031,481238,1219269
12/30/2005,2005-12-30,762706,471541,1234247
12/31/2005,2005-12-31,526241,307444,833685
01/01/2006,2006-01-01,287126,203291,490417
01/02/2006,2006-01-02,360273,215920,576193
01/03/2006,2006-01-03,772171,540341,1312512
01/04/2006,2006-01-04,759600,543243,1302843
01/05/2006,2006-01-05,766560,550285,1316845
01/06/2006,2006-01-06,788239,551707,1339946
01/07/2006,2006-01-07,518237,280538,798775
01/08/2006,2006-01-08,367927,199691,567618
01/09/2006,2006-01-09,917702,588402,1506104
01/10/2006,2006-01-10,938390,600336,1538726
01/11/2006,2006-01-11,927898,602096,1529994
01/12/2006,2006-01-12,955926,616251,1572177
01/13/2006,2006-01-13,887164,585207,1472371
01/14/2006,2006-01-14,558211,309983,868194
01/15/2006,2006-01-15,381225,223499,604724
01/16/2006,2006-01-16,605772,399562,1005334
01/17/2006,2006-01-17,948555,619527,1568082
01/18/2006,2006-01-18,954238,621428,1575666
01/19/2006,2006-01-19,983087,634043,1617130
01/20/2006,2006-01-20,944694,615420,1560114
01/21/2006,2006-01-21,542740,308378,851118
01/22/2006,2006-01-22,371481,208257,579738
01/23/2006,2006-01-23,976988,626292,1603280
01/24/2006,2006-01-24,972893,634204,1607097
01/25/2006,2006-01-25,980770,634664,1615434
01/26/2006,2006-01-26,988382,643068,1631450
01/27/2006,2006-01-27,889516,608327,1497843
01/28/2006,2006-01-28,568287,314425,882712
01/29/2006,2006-01-29,380026,223196,603222
01/30/2006,2006-01-30,966708,614814,1581522
01/31/2006,2006-01-31,995530,634459,1629989
02/01/2006,2006-02-01,1035412,641676,1677088
02/02/2006,2006-02-02,1025866,642353,1668219
02/03/2006,2006-02-03,1020411,627330,1647741
02/04/2006,2006-02-04,587568,317239,904807
02/05/2006,2006-02-05,390808,211645,602453
02/06/2006,2006-02-06,986048,612106,1598154
02/07/2006,2006-02-07,1008328,631742,1640070
02/08/2006,2006-02-08,977974,629155,1607129
02/09/2006,2006-02-09,984574,635409,1619983
02/10/2006,2006-02-10,1003608,623814,1627422
02/11/2006,2006-02-11,601208,327796,929004
02/12/2006,2006-02-12,405657,221409,627066
02/13/2006,2006-02-13,799595,546148,1345743
02/14/2006,2006-02-14,1044587,644218,1688805
02/15/2006,2006-02-15,988045,626072,1614117
02/16/2006,2006-02-16,930188,613347,1543535
02/17/2006,2006-02-17,942685,604038,1546723
02/18/2006,2006-02-18,450578,265649,716227
02/19/2006,2006-02-19,334766,196957,531723
02/20/2006,2006-02-20,681948,453199,1135147
02/21/2006,2006-02-21,993188,623860,1617048
02/22/2006,2006-02-22,999636,629122,1628758
02/23/2006,2006-02-23,991146,635013,1626159
02/24/2006,2006-02-24,987623,615401,1603024
02/25/2006,2006-02-25,580618,314037,894655
02/26/2006,2006-02-26,386242,211388,597630
02/27/2006,2006-02-27,959193,603047,1562240
02/28/2006,2006-02-28,987195,623237,1610432
03/01/2006,2006-03-01,1020267,627527,1647794
03/02/2006,2006-03-02,986927,620235,1607162
03/03/2006,2006-03-03,1021045,620890,1641935
03/04/2006,2006-03-04,609288,322365,931653
03/05/2006,2006-03-05,363219,208605,571824
03/06/2006,2006-03-06,794246,550369,1344615
03/07/2006,2006-03-07,1006095,626557,1632652
03/08/2006,2006-03-08,982979,623290,1606269
03/09/2006,2006-03-09,979823,627081,1606904
03/10/2006,2006-03-10,1015665,721158,1736823
03/11/2006,2006-03-11,614019,386305,1000324
03/12/2006,2006-03-12,400822,233603,634425
03/13/2006,2006-03-13,968366,609970,1578336
03/14/2006,2006-03-14,1000900,629929,1630829
03/15/2006,2006-03-15,1005800,632700,1638500
03/16/2006,2006-03-16,953483,630443,1583926
03/17/2006,2006-03-17,989694,633801,1623495
03/18/2006,2006-03-18,603484,347527,951011
03/19/2006,2006-03-19,413687,225740,639427
03/20/2006,2006-03-20,963013,587104,1550117
03/21/2006,2006-03-21,943649,585590,1529239
03/22/2006,2006-03-22,982523,605646,1588169
03/23/2006,2006-03-23,979617,609325,1588942
03/24/2006,2006-03-24,978424,597943,1576367
03/25/2006,2006-03-25,620929,322685,943614
03/26/2006,2006-03-26,433649,234862,668511
03/27/2006,2006-03-27,962206,601488,1563694
03/28/2006,2006-03-28,981183,619650,1600833
03/29/2006,2006-03-29,987756,636692,1624448
03/30/2006,2006-03-30,996804,600724,1597528
03/31/2006,2006-03-31,1028124,641079,1669203
04/01/2006,2006-04-01,620450,348344,968794
04/02/2006,2006-04-02,391830,254413,646243
04/03/2006,2006-04-03,985177,616386,1601563
04/04/2006,2006-04-04,1042810,660381,1703191
04/05/2006,2006-04-05,1020222,654034,1674256
04/06/2006,2006-04-06,998368,635705,1634073
04/07/2006,2006-04-07,880902,634777,1515679
04/08/2006,2006-04-08,607382,360442,967824
04/09/2006,2006-04-09,426567,258613,685180
04/10/2006,2006-04-10,880692,601070,1481762
04/11/2006,2006-04-11,885029,628374,1513403
04/12/2006,2006-04-12,877362,627736,1505098
04/13/2006,2006-04-13,871878,634065,1505943
04/14/2006,2006-04-14,804781,551524,1356305
04/15/2006,2006-04-15,592251,323845,916096
04/16/2006,2006-04-16,324770,181980,506750
04/17/2006,2006-04-17,964793,623255,1588048
04/18/2006,2006-04-18,1000958,646316,1647274
04/19/2006,2006-04-19,984239,652275,1636514
04/20/2006,2006-04-20,938226,641954,1580180
04/21/2006,2006-04-21,999808,659127,1658935
04/22/2006,2006-04-22,607395,357315,964710
04/23/2006,2006-04-23,415959,248173,664132
04/24/2006,2006-04-24,998455,642816,1641271
04/25/2006,2006-04-25,953034,636129,1589163
04/26/2006,2006-04-26,952603,649967,1602570
04/27/2006,2006-04-27,955057,644011,1599068
04/28/2006,2006-04-28,1008989,666532,1675521
04/29/2006,2006-04-29,574038,343244,917282
04/30/2006,2006-04-30,345287,224122,569409
05/01/2006,2006-05-01,997873,738966,1736839
05/02/2006,2006-05-02,1045233,664946,1710179
05/03/2006,2006-05-03,1060500,663686,1724186
05/04/2006,2006-05-04,1047587,665514,1713101
05/05/2006,2006-05-05,1023957,651798,1675755
05/06/2006,2006-05-06,637405,368890,1006295
05/07/2006,2006-05-07,438858,258592,697450
05/08/2006,2006-05-08,1010412,624197,1634609
05/09/2006,2006-05-09,1004081,650430,1654511
05/10/2006,2006-05-10,1007923,648361,1656284
05/11/2006,2006-05-11,926462,621331,1547793
05/12/2006,2006-05-12,958553,639308,1597861
05/13/2006,2006-05-13,587533,340904,928437
05/14/2006,2006-05-14,411861,249652,661513
05/15/2006,2006-05-15,961857,601838,1563695
05/16/2006,2006-05-16,994913,648507,1643420
05/17/2006,2006-05-17,964565,640270,1604835
05/18/2006,2006-05-18,987234,653070,1640304
05/19/2006,2006-05-19,994011,651428,1645439
05/20/2006,2006-05-20,619536,365397,984933
05/21/2006,2006-05-21,423940,258770,682710
05/22/2006,2006-05-22,996607,629775,1626382
05/23/2006,2006-05-23,1013298,647643,1660941
05/24/2006,2006-05-24,951852,631510,1583362
05/25/2006,2006-05-25,978387,639540,1617927
05/26/2006,2006-05-26,988688,657379,1646067
05/27/2006,2006-05-27,646979,358425,1005404
05/28/2006,2006-05-28,461625,282850,744475
05/29/2006,2006-05-29,381213,245203,626416
05/30/2006,2006-05-30,945888,632333,1578221
05/31/2006,2006-05-31,968145,646966,1615111
06/01/2006,2006-06-01,1028046,638192,1666238
06/02/2006,2006-06-02,1031966,647618,1679584
06/03/2006,2006-06-03,668592,371768,1040360
06/04/2006,2006-06-04,457674,274564,732238
06/05/2006,2006-06-05,1005516,625171,1630687
06/06/2006,2006-06-06,1008096,653049,1661145
06/07/2006,2006-06-07,1012230,666040,1678270
06/08/2006,2006-06-08,1011430,675651,1687081
06/09/2006,2006-06-09,988332,652258,1640590
06/10/2006,2006-06-10,573542,349687,923229
06/11/2006,2006-06-11,424510,267884,692394
06/12/2006,2006-06-12,960901,623525,1584426
06/13/2006,2006-06-13,961923,664539,1626462
06/14/2006,2006-06-14,941928,665279,1607207
06/15/2006,2006-06-15,907237,659507,1566744
06/16/2006,2006-06-16,966314,667762,1634076
06/17/2006,2006-06-17,616266,384541,1000807
06/18/2006,2006-06-18,412366,259888,672254
06/19/2006,2006-06-19,880777,608854,1489631
06/20/2006,2006-06-20,889908,636659,1526567
06/21/2006,2006-06-21,859537,629433,1488970
06/22/2006,2006-06-22,872019,633021,1505040
06/23/2006,2006-06-23,905242,639365,1544607
06/24/2006,2006-06-24,607951,371810,979761
06/25/2006,2006-06-25,407079,302719,709798
06/26/2006,2006-06-26,852939,626802,1479741
06/27/2006,2006-06-27,886147,642922,1529069
06/28/2006,2006-06-28,886828,649479,1536307
06/29/2006,2006-06-29,899339,667597,1566936
06/30/2006,2006-06-30,950077,716112,1666189
07/01/2006,2006-07-01,631294,429319,1060613
07/02/2006,2006-07-02,440041,343944,783985
07/03/2006,2006-07-03,802169,684040,1486209
07/04/2006,2006-07-04,450356,350242,800598
07/05/2006,2006-07-05,901332,661426,1562758
07/06/2006,2006-07-06,925381,678340,1603721
07/07/2006,2006-07-07,928760,702727,1631487
07/08/2006,2006-07-08,625575,423300,1048875
07/09/2006,2006-07-09,443095,313512,756607
07/10/2006,2006-07-10,900356,618702,1519058
07/11/2006,2006-07-11,873419,605343,1478762
07/12/2006,2006-07-12,926286,615196,1541482
07/13/2006,2006-07-13,922492,644488,1566980
07/14/2006,2006-07-14,889540,669868,1559408
07/15/2006,2006-07-15,603018,412144,1015162
07/16/2006,2006-07-16,418278,308173,726451
07/17/2006,2006-07-17,886469,626986,1513455
07/18/2006,2006-07-18,927651,675064,1602715
07/19/2006,2006-07-19,911699,687896,1599595
07/20/2006,2006-07-20,827202,644150,1471352
07/21/2006,2006-07-21,931578,676491,1608069
07/22/2006,2006-07-22,625346,408434,1033780
07/23/2006,2006-07-23,446438,284632,731070
07/24/2006,2006-07-24,906725,633184,1539909
07/25/2006,2006-07-25,919219,650364,1569583
07/26/2006,2006-07-26,897731,641296,1539027
07/27/2006,2006-07-27,894993,663387,1558380
07/28/2006,2006-07-28,900144,673789,1573933
07/29/2006,2006-07-29,593188,423092,1016280
07/30/2006,2006-07-30,416361,290935,707296
07/31/2006,2006-07-31,831261,608739,1440000
08/01/2006,2006-08-01,894297,619717,1514014
08/02/2006,2006-08-02,872246,628299,1500545
08/03/2006,2006-08-03,911057,656020,1567077
08/04/2006,2006-08-04,951984,722072,1674056
08/05/2006,2006-08-05,645372,472159,1117531
08/06/2006,2006-08-06,451477,357797,809274
08/07/2006,2006-08-07,905263,633078,1538341
08/08/2006,2006-08-08,916905,646778,1563683
08/09/2006,2006-08-09,909623,641076,1550699
08/10/2006,2006-08-10,856682,614321,1471003
08/11/2006,2006-08-11,909305,638056,1547361
08/12/2006,2006-08-12,652458,391862,1044320
08/13/2006,2006-08-13,433792,268208,702000
08/14/2006,2006-08-14,857738,595551,1453289
08/15/2006,2006-08-15,888214,618372,1506586
08/16/2006,2006-08-16,878842,620892,1499734
08/17/2006,2006-08-17,874196,628756,1502952
08/18/2006,2006-08-18,869355,638938,1508293
08/19/2006,2006-08-19,612065,384987,997052
08/20/2006,2006-08-20,481484,321400,802884
08/21/2006,2006-08-21,878842,613716,1492558
08/22/2006,2006-08-22,896666,628952,1525618
08/23/2006,2006-08-23,891561,632682,1524243
08/24/2006,2006-08-24,831663,617548,1449211
08/25/2006,2006-08-25,895640,645738,1541378
08/26/2006,2006-08-26,592637,361355,953992
08/27/2006,2006-08-27,417115,276143,693258
08/28/2006,2006-08-28,792601,587722,1380323
08/29/2006,2006-08-29,891705,638128,1529833
08/30/2006,2006-08-30,913445,650359,1563804
08/31/2006,2006-08-31,917102,654437,1571539
09/01/2006,2006-09-01,977274,663472,1640746
09/02/2006,2006-09-02,668504,405986,1074490
09/03/2006,2006-09-03,488706,320575,809281
09/04/2006,2006-09-04,404856,256882,661738
09/05/2006,2006-09-05,1056228,680476,1736704
09/06/2006,2006-09-06,1069326,706958,1776284
09/07/2006,2006-09-07,1043601,726551,1770152
09/08/2006,2006-09-08,985806,708845,1694651
09/09/2006,2006-09-09,609019,386190,995209
09/10/2006,2006-09-10,379770,245048,624818
09/11/2006,2006-09-11,981275,656692,1637967
09/12/2006,2006-09-12,1030796,694780,1725576
09/13/2006,2006-09-13,992146,694220,1686366
09/14/2006,2006-09-14,1054398,719561,1773959
09/15/2006,2006-09-15,1060398,729995,1790393
09/16/2006,2006-09-16,651694,421692,1073386
09/17/2006,2006-09-17,433989,294159,728148
09/18/2006,2006-09-18,1037929,688531,1726460
09/19/2006,2006-09-19,1041255,690760,1732015
09/20/2006,2006-09-20,1053131,700536,1753667
09/21/2006,2006-09-21,1044501,696162,1740663
09/22/2006,2006-09-22,993335,668669,1662004
09/23/2006,2006-09-23,584517,349931,934448
09/24/2006,2006-09-24,420423,259500,679923
09/25/2006,2006-09-25,1041474,666046,1707520
09/26/2006,2006-09-26,1054882,695484,1750366
09/27/2006,2006-09-27,1035426,690413,1725839
09/28/2006,2006-09-28,1043356,676811,1720167
09/29/2006,2006-09-29,1058057,699340,1757397
09/30/2006,2006-09-30,636906,394280,1031186
10/01/2006,2006-10-01,462755,296236,758991
10/02/2006,2006-10-02,981933,635901,1617834
10/03/2006,2006-10-03,1064774,681381,1746155
10/04/2006,2006-10-04,1026517,675804,1702321
10/05/2006,2006-10-05,1060282,698851,1759133
10/06/2006,2006-10-06,1055911,691122,1747033
10/07/2006,2006-10-07,641240,373957,1015197
10/08/2006,2006-10-08,452460,283787,736247
10/09/2006,2006-10-09,806458,572361,1378819
10/10/2006,2006-10-10,1055021,684475,1739496
10/11/2006,2006-10-11,1022625,684138,1706763
10/12/2006,2006-10-12,998899,676609,1675508
10/13/2006,2006-10-13,1014747,680633,1695380
10/14/2006,2006-10-14,622249,386404,1008653
10/15/2006,2006-10-15,420083,260059,680142
10/16/2006,2006-10-16,1011001,668480,1679481
10/17/2006,2006-10-17,1029815,683799,1713614
10/18/2006,2006-10-18,1035671,687285,1722956
10/19/2006,2006-10-19,1035827,689629,1725456
10/20/2006,2006-10-20,1031742,705991,1737733
10/21/2006,2006-10-21,631254,403698,1034952
10/22/2006,2006-10-22,389726,375938,765664
10/23/2006,2006-10-23,1018534,659505,1678039
10/24/2006,2006-10-24,1043962,675059,1719021
10/25/2006,2006-10-25,1057646,663754,1721400
10/26/2006,2006-10-26,994421,659139,1653560
10/27/2006,2006-10-27,1007282,663912,1671194
10/28/2006,2006-10-28,622775,364159,986934
10/29/2006,2006-10-29,434824,265624,700448
10/30/2006,2006-10-30,1033777,660257,1694034
10/31/2006,2006-10-31,997495,663340,1660835
11/01/2006,2006-11-01,1053237,673789,1727026
11/02/2006,2006-11-02,1012046,671054,1683100
11/03/2006,2006-11-03,959706,654291,1613997
11/04/2006,2006-11-04,609584,356326,965910
11/05/2006,2006-11-05,435747,266756,702503
11/06/2006,2006-11-06,1026257,653935,1680192
11/07/2006,2006-11-07,1033037,651606,1684643
11/08/2006,2006-11-08,1046870,674951,1721821
11/09/2006,2006-11-09,1001116,668263,1669379
11/10/2006,2006-11-10,935843,610547,1546390
11/11/2006,2006-11-11,591773,376391,968164
11/12/2006,2006-11-12,417471,251876,669347
11/13/2006,2006-11-13,1007564,643008,1650572
11/14/2006,2006-11-14,1047208,669094,1716302
11/15/2006,2006-11-15,1039976,661667,1701643
11/16/2006,2006-11-16,998140,658701,1656841
11/17/2006,2006-11-17,1018763,664438,1683201
11/18/2006,2006-11-18,620464,403175,1023639
11/19/2006,2006-11-19,417408,242830,660238
11/20/2006,2006-11-20,1022880,638117,1660997
11/21/2006,2006-11-21,1022970,651230,1674200
11/22/2006,2006-11-22,980561,616974,1597535
11/23/2006,2006-11-23,318233,182131,500364
11/24/2006,2006-11-24,628700,393228,1021928
11/25/2006,2006-11-25,549875,317650,867525
11/26/2006,2006-11-26,400592,234961,635553
11/27/2006,2006-11-27,1012191,628799,1640990
11/28/2006,2006-11-28,1030255,648239,1678494
11/29/2006,2006-11-29,976231,634505,1610736
11/30/2006,2006-11-30,985569,649626,1635195
12/01/2006,2006-12-01,912314,629776,1542090
12/02/2006,2006-12-02,595637,338009,933646
12/03/2006,2006-12-03,375419,224761,600180
12/04/2006,2006-12-04,962864,605349,1568213
12/05/2006,2006-12-05,992857,620241,1613098
12/06/2006,2006-12-06,1015490,629687,1645177
12/07/2006,2006-12-07,921792,603900,1525692
12/08/2006,2006-12-08,952445,626294,1578739
12/09/2006,2006-12-09,590225,344215,934440
12/10/2006,2006-12-10,406068,237226,643294
12/11/2006,2006-12-11,995926,609360,1605286
12/12/2006,2006-12-12,991473,612992,1604465
12/13/2006,2006-12-13,1020619,640224,1660843
12/14/2006,2006-12-14,1007667,626704,1634371
12/15/2006,2006-12-15,1002739,632077,1634816
12/16/2006,2006-12-16,632218,356756,988974
12/17/2006,2006-12-17,432910,251802,684712
12/18/2006,2006-12-18,990534,591895,1582429
12/19/2006,2006-12-19,1019785,596338,1616123
12/20/2006,2006-12-20,975226,586048,1561274
12/21/2006,2006-12-21,924778,564199,1488977
12/22/2006,2006-12-22,906201,529373,1435574
12/23/2006,2006-12-23,578507,277455,855962
12/24/2006,2006-12-24,391926,175847,567773
12/25/2006,2006-12-25,242369,112855,355224
12/26/2006,2006-12-26,652808,377449,1030257
12/27/2006,2006-12-27,732919,460703,1193622
12/28/2006,2006-12-28,758151,487441,1245592
12/29/2006,2006-12-29,816636,499735,1316371
12/30/2006,2006-12-30,589298,310684,899982
12/31/2006,2006-12-31,412048,293362,705410
01/01/2007,2007-01-01,326042,219953,545995
01/02/2007,2007-01-02,772549,452097,1224646
01/03/2007,2007-01-03,871683,561287,1432970
01/04/2007,2007-01-04,814984,548904,1363888
01/05/2007,2007-01-05,862748,569322,1432070
01/06/2007,2007-01-06,580851,305019,885870
01/07/2007,2007-01-07,384626,208188,592814
01/08/2007,2007-01-08,976783,594028,1570811
01/09/2007,2007-01-09,978577,598746,1577323
01/10/2007,2007-01-10,968643,599118,1567761
01/11/2007,2007-01-11,967218,602194,1569412
01/12/2007,2007-01-12,973391,603456,1576847
01/13/2007,2007-01-13,562827,308047,870874
01/14/2007,2007-01-14,368736,217983,586719
01/15/2007,2007-01-15,604564,389675,994239
01/16/2007,2007-01-16,978082,620145,1598227
01/17/2007,2007-01-17,977527,618895,1596422
01/18/2007,2007-01-18,982237,620579,1602816
01/19/2007,2007-01-19,978490,617473,1595963
01/20/2007,2007-01-20,576490,316657,893147
01/21/2007,2007-01-21,364130,214796,578926
01/22/2007,2007-01-22,1002003,616824,1618827
01/23/2007,2007-01-23,1011645,629993,1641638
01/24/2007,2007-01-24,1006911,629208,1636119
01/25/2007,2007-01-25,988347,630002,1618349
01/26/2007,2007-01-26,901880,600561,1502441
01/27/2007,2007-01-27,578477,314380,892857
01/28/2007,2007-01-28,345116,199255,544371
01/29/2007,2007-01-29,945286,594742,1540028
01/30/2007,2007-01-30,952201,604145,1556346
01/31/2007,2007-01-31,943384,598814,1542198
02/01/2007,2007-02-01,1007882,616420,1624302
02/02/2007,2007-02-02,958446,584607,1543053
02/03/2007,2007-02-03,454188,247767,701955
02/04/2007,2007-02-04,266510,162712,429222
02/05/2007,2007-02-05,761572,500675,1262247
02/06/2007,2007-02-06,850354,564981,1415335
02/07/2007,2007-02-07,933093,593113,1526206
02/08/2007,2007-02-08,948308,591797,1540105
02/09/2007,2007-02-09,944364,582089,1526453
02/10/2007,2007-02-10,546086,292046,838132
02/11/2007,2007-02-11,369026,201895,570921
02/12/2007,2007-02-12,793846,530211,1324057
02/13/2007,2007-02-13,805441,607127,1412568
02/14/2007,2007-02-14,884567,596676,1481243
02/15/2007,2007-02-15,933588,604415,1538003
02/16/2007,2007-02-16,928048,589591,1517639
02/17/2007,2007-02-17,562470,306944,869414
02/18/2007,2007-02-18,394698,226617,621315
02/19/2007,2007-02-19,736322,466950,1203272
02/20/2007,2007-02-20,1030943,626057,1657000
02/21/2007,2007-02-21,1036604,631249,1667853
02/22/2007,2007-02-22,1018598,631479,1650077
02/23/2007,2007-02-23,999849,617663,1617512
02/24/2007,2007-02-24,544391,302947,847338
02/25/2007,2007-02-25,331808,195652,527460
02/26/2007,2007-02-26,953661,597444,1551105
02/27/2007,2007-02-27,998059,610100,1608159
02/28/2007,2007-02-28,997324,617882,1615206
03/01/2007,2007-03-01,991173,616136,1607309
03/02/2007,2007-03-02,961731,596551,1558282
03/03/2007,2007-03-03,582869,304060,886929
03/04/2007,2007-03-04,400292,214735,615027
03/05/2007,2007-03-05,861145,558483,1419628
03/06/2007,2007-03-06,1004928,611416,1616344
03/07/2007,2007-03-07,1000287,611040,1611327
03/08/2007,2007-03-08,1019684,625383,1645067
03/09/2007,2007-03-09,1021269,616768,1638037
03/10/2007,2007-03-10,645222,343183,988405
03/11/2007,2007-03-11,435861,237257,673118
03/12/2007,2007-03-12,1009154,613447,1622601
03/13/2007,2007-03-13,1053169,648460,1701629
03/14/2007,2007-03-14,1010219,631196,1641415
03/15/2007,2007-03-15,1011742,635295,1647037
03/16/2007,2007-03-16,1019835,638871,1658706
03/17/2007,2007-03-17,622487,432315,1054802
03/18/2007,2007-03-18,420366,236110,656476
03/19/2007,2007-03-19,1007874,607303,1615177
03/20/2007,2007-03-20,1031451,620644,1652095
03/21/2007,2007-03-21,970928,596843,1567771
03/22/2007,2007-03-22,1025487,620409,1645896
03/23/2007,2007-03-23,997803,601679,1599482
03/24/2007,2007-03-24,619377,326859,946236
03/25/2007,2007-03-25,442112,267216,709328
03/26/2007,2007-03-26,1011806,604279,1616085
03/27/2007,2007-03-27,1010067,606509,1616576
03/28/2007,2007-03-28,981180,608639,1589819
03/29/2007,2007-03-29,1014456,626073,1640529
03/30/2007,2007-03-30,1037493,621496,1658989
03/31/2007,2007-03-31,608037,323073,931110
04/01/2007,2007-04-01,425595,222200,647795
04/02/2007,2007-04-02,936869,574727,1511596
04/03/2007,2007-04-03,932688,564461,1497149
04/04/2007,2007-04-04,874823,565985,1440808
04/05/2007,2007-04-05,892666,577450,1470116
04/06/2007,2007-04-06,822387,508529,1330916
04/07/2007,2007-04-07,547926,279962,827888
04/08/2007,2007-04-08,374365,189557,563922
04/09/2007,2007-04-09,1002171,601020,1603191
04/10/2007,2007-04-10,1048978,629888,1678866
04/11/2007,2007-04-11,921761,585857,1507618
