service_date,date,bus,rail_boardings,total_rides
05/12/2001,2001-05-12,649008,289167,938175
05/13/2001,2001-05-13,422270,200996,623266
05/14/2001,2001-05-14,963027,581644,1544671
05/15/2001,2001-05-15,1035512,633053,1668565
05/16/2001,2001-05-16,995884,627978,1623862
05/17/2001,2001-05-17,1006118,628882,1635000
05/18/2001,2001-05-18,1027834,628829,1656663
05/19/2001,2001-05-19,645603,315487,961090
05/20/2001,2001-05-20,427040,217899,644939
05/21/2001,2001-05-21,958236,590204,1548440
05/22/2001,2001-05-22,1019568,637152,1656720
05/23/2001,2001-05-23,978614,619656,1598270
05/24/2001,2001-05-24,973423,615727,1589150
05/25/2001,2001-05-25,988982,597892,1586874
05/26/2001,2001-05-26,512958,269276,782234
05/27/2001,2001-05-27,390535,208208,598743
05/28/2001,2001-05-28,392906,191639,584545
05/29/2001,2001-05-29,1003029,595375,1598404
05/30/2001,2001-05-30,1002940,607442,1610382
05/31/2001,2001-05-31,965359,602748,1568107
06/01/2001,2001-06-01,1057056,611631,1668687
06/02/2001,2001-06-02,618944,282212,901156
06/03/2001,2001-06-03,432408,204795,637203
06/04/2001,2001-06-04,1029447,599699,1629146
06/05/2001,2001-06-05,935443,606051,1541494
06/06/2001,2001-06-06,1004243,627572,1631815
06/07/2001,2001-06-07,1004748,646177,1650925
06/08/2001,2001-06-08,1012502,642049,1654551
06/09/2001,2001-06-09,639444,358013,997457
06/10/2001,2001-06-10,438393,242257,680650
06/11/2001,2001-06-11,910186,586260,1496446
06/12/2001,2001-06-12,946314,605737,1552051
06/13/2001,2001-06-13,911372,599114,1510486
06/14/2001,2001-06-14,891710,602538,1494248
06/15/2001,2001-06-15,912712,612983,1525695
06/16/2001,2001-06-16,675335,340782,1016117
06/17/2001,2001-06-17,422714,237483,660197
06/18/2001,2001-06-18,909937,590688,1500625
06/19/2001,2001-06-19,944122,613028,1557150
06/20/2001,2001-06-20,939471,612707,1552178
06/21/2001,2001-06-21,900375,596076,1496451
06/22/2001,2001-06-22,957514,626565,1584079
06/23/2001,2001-06-23,631716,328467,960183
06/24/2001,2001-06-24,443240,281620,724860
06/25/2001,2001-06-25,947130,621006,1568136
06/26/2001,2001-06-26,944301,635326,1579627
06/27/2001,2001-06-27,944274,634994,1579268
06/28/2001,2001-06-28,942731,611002,1553733
06/29/2001,2001-06-29,996694,666587,1663281
06/30/2001,2001-06-30,649995,363078,1013073
